Year,Country,Inflation
2012,Azerbaijan,1.066213397
2013,Azerbaijan,2.415717453
2014,Azerbaijan,1.373441815
2015,Azerbaijan,4.027685737
2016,Azerbaijan,12.44337486
2017,Azerbaijan,12.93591842
2018,Azerbaijan,2.268546904
2019,Azerbaijan,2.610571828
2020,Azerbaijan,2.75980947
2021,Azerbaijan,6.650299127
2000,Belgium,2.544517762
2001,Belgium,2.469258231
2002,Belgium,1.645214362
2003,Belgium,1.588964
2004,Belgium,2.097283112
2005,Belgium,2.781432637
2006,Belgium,1.791207701
2007,Belgium,1.8230563
2008,Belgium,4.489444205
2009,Belgium,-0.053145674
2010,Belgium,2.189299204
2011,Belgium,3.532082107
2012,Belgium,2.839663434
2013,Belgium,1.11309594
2014,Belgium,0.340002833
2015,Belgium,0.561429153
2016,Belgium,1.973852647
2017,Belgium,2.12597086
2018,Belgium,2.053164999
2019,Belgium,1.43681957
2020,Belgium,0.740791812
2021,Belgium,2.440248511
2000,Bulgaria,10.31626213
2001,Bulgaria,7.360939272
2002,Bulgaria,5.810143657
2003,Bulgaria,2.348641696
2004,Bulgaria,6.147130742
2005,Bulgaria,5.038838071
2006,Bulgaria,7.261594628
2007,Bulgaria,8.40253419
2008,Bulgaria,12.3487196
2009,Bulgaria,2.753202239
2010,Bulgaria,2.438990605
2011,Bulgaria,4.219903466
2012,Bulgaria,2.954568298
2013,Bulgaria,0.890093541
2014,Bulgaria,-1.418183803
2015,Bulgaria,-0.104633261
2016,Bulgaria,-0.798649886
2017,Bulgaria,2.061596194
2018,Bulgaria,2.814544738
2019,Bulgaria,3.103729448
2020,Bulgaria,1.672440969
2021,Bulgaria,3.297744353
2000,Bosnia and Herzegovina,0
2001,Bosnia and Herzegovina,0
2002,Bosnia and Herzegovina,0
2003,Bosnia and Herzegovina,0
2004,Bosnia and Herzegovina,0
2005,Bosnia and Herzegovina,0
2006,Bosnia and Herzegovina,6.125566156
2007,Bosnia and Herzegovina,1.500777106
2008,Bosnia and Herzegovina,7.427043103
2009,Bosnia and Herzegovina,-0.381464282
2010,Bosnia and Herzegovina,1.996212367
2011,Bosnia and Herzegovina,3.67125
2012,Bosnia and Herzegovina,2.05267452
2013,Bosnia and Herzegovina,-0.093045684
2014,Bosnia and Herzegovina,-0.897194054
2015,Bosnia and Herzegovina,-1.036023034
2016,Bosnia and Herzegovina,-1.5841
2017,Bosnia and Herzegovina,0.810133322
2018,Bosnia and Herzegovina,1.41710814
2019,Bosnia and Herzegovina,0.562782154
2020,Bosnia and Herzegovina,-1.051296008
2021,Bosnia and Herzegovina,1.981639006
2000,Belarus,168.6202359
2001,Belarus,61.13493316
2002,Belarus,42.53754813
2003,Belarus,28.39783991
2004,Belarus,18.10824249
2005,Belarus,10.33887945
2006,Belarus,6.997129035
2007,Belarus,8.426752735
2008,Belarus,14.83787648
2009,Belarus,12.94565634
2010,Belarus,7.735748043
2011,Belarus,53.22869831
2012,Belarus,59.21973602
2013,Belarus,18.31226104
2014,Belarus,18.11955435
2015,Belarus,13.53448976
2016,Belarus,11.83658077
2017,Belarus,6.031837252
2018,Belarus,4.872302206
2019,Belarus,5.59815595
2020,Belarus,5.548143575
2021,Belarus,9.460283896
2000,Switzerland,1.558529197
2001,Switzerland,0.98902033
2002,Switzerland,0.642711507
2003,Switzerland,0.638272931
2004,Switzerland,0.802908731
2005,Switzerland,1.171954203
2006,Switzerland,1.059509283
2007,Switzerland,0.732350603
2008,Switzerland,2.426041171
2009,Switzerland,-0.480481936
2010,Switzerland,0.688238707
2011,Switzerland,0.231349208
2012,Switzerland,-0.692552018
2013,Switzerland,-0.217323155
2014,Switzerland,-0.013202539
2015,Switzerland,-1.143908672
2016,Switzerland,-0.434618664
2017,Switzerland,0.53378784
2018,Switzerland,0.936335464
2019,Switzerland,0.36288618
2020,Switzerland,-0.725874933
2021,Switzerland,0.581814168
2000,Cyprus,4.141657647
2001,Cyprus,1.973041917
2002,Cyprus,2.801155052
2003,Cyprus,4.139065387
2004,Cyprus,2.286217068
2005,Cyprus,2.560161323
2006,Cyprus,2.30468733
2007,Cyprus,2.372651837
2008,Cyprus,4.669008419
2009,Cyprus,0.326276652
2010,Cyprus,2.430040841
2011,Cyprus,3.289449396
2012,Cyprus,2.3890541
2013,Cyprus,-0.399357676
2014,Cyprus,-1.354988854
2015,Cyprus,-2.096997691
2016,Cyprus,-1.429166667
2017,Cyprus,0.531766496
2018,Cyprus,1.435491195
2019,Cyprus,0.250370997
2020,Cyprus,-0.638422798
2021,Cyprus,2.446088672
2000,Czechia,3.775388292
2001,Czechia,4.66267557
2002,Czechia,1.90298097
2003,Czechia,0.118739206
2004,Czechia,2.760107817
2005,Czechia,1.857097891
2006,Czechia,2.533992583
2007,Czechia,2.853124372
2008,Czechia,6.358663802
2009,Czechia,1.019377353
2010,Czechia,1.472727273
2011,Czechia,1.917219136
2012,Czechia,3.287623066
2013,Czechia,1.438297872
2014,Czechia,0.34398859
2015,Czechia,0.309364548
2016,Czechia,0.683504209
2017,Czechia,2.450533985
2018,Czechia,2.149494949
2019,Czechia,2.847875959
2020,Czechia,3.161295285
2021,Czechia,3.839844915
2000,Germany,1.440268187
2001,Germany,1.983856936
2002,Germany,1.420805605
2003,Germany,1.034227766
2004,Germany,1.665733409
2005,Germany,1.546909652
2006,Germany,1.577428259
2007,Germany,2.298341797
2008,Germany,2.628381749
2009,Germany,0.31273763
2010,Germany,1.103809161
2011,Germany,2.075174525
2012,Germany,2.008490922
2013,Germany,1.50472098
2014,Germany,0.906797949
2015,Germany,0.51442054
2016,Germany,0.491748625
2017,Germany,1.509496558
2018,Germany,1.732167661
2019,Germany,1.445667015
2020,Germany,0.50668989
2021,Germany,3.142969673
2000,Denmark,2.903282032
2001,Denmark,2.337870003
2002,Denmark,2.424436612
2003,Denmark,2.075078206
2004,Denmark,1.154356931
2005,Denmark,1.817814583
2006,Denmark,1.924221385
2007,Denmark,1.693265862
2008,Denmark,3.416267943
2009,Denmark,1.30470991
2010,Denmark,2.31092437
2011,Denmark,2.758682261
2012,Denmark,2.397914857
2013,Denmark,0.78907178
2014,Denmark,0.56402054
2015,Denmark,0.452034154
2016,Denmark,0.25
2017,Denmark,1.14713217
2018,Denmark,0.813609467
2019,Denmark,0.758131573
2020,Denmark,0.420711974
2021,Denmark,1.85304544
2000,Spain,3.433515634
2001,Spain,3.589834133
2002,Spain,3.065656859
2003,Spain,3.038888394
2004,Spain,3.039248811
2005,Spain,3.368814098
2006,Spain,3.515575768
2007,Spain,2.786797458
2008,Spain,4.07534336
2009,Spain,-0.287813084
2010,Spain,1.799864577
2011,Spain,3.196101888
2012,Spain,2.446127824
2013,Spain,1.408581092
2014,Spain,-0.151114838
2015,Spain,-0.50036571
2016,Spain,-0.202598
2017,Spain,1.956076334
2018,Spain,1.674981369
2019,Spain,0.699518994
2020,Spain,-0.322753017
2021,Spain,3.09313512
2000,Estonia,4.018489525
2001,Estonia,5.748279817
2002,Estonia,3.571912702
2003,Estonia,1.334991165
2004,Estonia,3.048111075
2005,Estonia,4.079714232
2006,Estonia,4.437620424
2007,Estonia,6.601326031
2008,Estonia,10.36235803
2009,Estonia,-0.078408311
2010,Estonia,2.97204512
2011,Estonia,4.981901315
2012,Estonia,3.933399873
2013,Estonia,2.78056659
2014,Estonia,-0.106175147
2015,Estonia,-0.492326007
2016,Estonia,0.148684908
2017,Estonia,3.417235495
2018,Estonia,3.436326884
2019,Estonia,2.277259312
2020,Estonia,-0.444531098
2021,Estonia,4.653166738
2000,Finland,3.042100807
2001,Finland,2.578440801
2002,Finland,1.571220128
2003,Finland,0.877440386
2004,Finland,0.187120559
2005,Finland,0.62387445
2006,Finland,1.566663807
2007,Finland,2.510665652
2008,Finland,4.065953554
2009,Finland,-0.000000917
2010,Finland,1.184135232
2011,Finland,3.416807543
2012,Finland,2.808336226
2013,Finland,1.478286157
2014,Finland,1.041196212
2015,Finland,-0.20792884
2016,Finland,0.356684501
2017,Finland,0.754015047
2018,Finland,1.083820984
2019,Finland,1.02409393
2020,Finland,0.290554556
2021,Finland,2.194574323
2000,France,1.675959887
2001,France,1.634780795
2002,France,1.923412287
2003,France,2.098472191
2004,France,2.142089646
2005,France,1.745869364
2006,France,1.675124496
2007,France,1.48799806
2008,France,2.812861949
2009,France,0.087620478
2010,France,1.531122704
2011,France,2.111597952
2012,France,1.954195316
2013,France,0.863715498
2014,France,0.507758823
2015,France,0.037514381
2016,France,0.183334861
2017,France,1.032282751
2018,France,1.850815083
2019,France,1.108254923
2020,France,0.476498853
2021,France,1.64233141
2000,United Kingdom,1.182956242
2001,United Kingdom,1.532349603
2002,United Kingdom,1.520402459
2003,United Kingdom,1.376500385
2004,United Kingdom,1.390397567
2005,United Kingdom,2.08913649
2006,United Kingdom,2.455661664
2007,United Kingdom,2.386561508
2008,United Kingdom,3.521408563
2009,United Kingdom,1.961731736
2010,United Kingdom,2.492654725
2011,United Kingdom,3.856112447
2012,United Kingdom,2.573234797
2013,United Kingdom,2.291666667
2014,United Kingdom,1.451120163
2015,United Kingdom,0.368046842
2016,United Kingdom,1.008417368
2017,United Kingdom,2.557755776
2018,United Kingdom,2.292839903
2019,United Kingdom,1.738104601
2020,United Kingdom,0.989486704
2021,United Kingdom,2.518371096
2000,Georgia,4.063962014
2001,Georgia,4.646044421
2002,Georgia,5.5878373
2003,Georgia,0.837734532
2004,Georgia,5.656326362
2005,Georgia,8.247090431
2006,Georgia,9.160965084
2007,Georgia,9.244897456
2008,Georgia,9.999487616
2009,Georgia,1.727514611
2010,Georgia,7.110178975
2011,Georgia,8.542933333
2012,Georgia,-0.943658853
2013,Georgia,-0.512058411
2014,Georgia,3.068812104
2015,Georgia,4.003578207
2016,Georgia,2.134927139
2017,Georgia,6.035317253
2018,Georgia,2.615244714
2019,Georgia,4.852898217
2020,Georgia,5.20246489
2021,Georgia,9.566914338
2000,Greece,3.151181625
2001,Greece,3.373968322
2002,Greece,3.629358719
2003,Greece,3.530650278
2004,Greece,2.898848108
2005,Greece,3.545072733
2006,Greece,3.195946841
2007,Greece,2.895003215
2008,Greece,4.152797081
2009,Greece,1.210072692
2010,Greece,4.712989078
2011,Greece,3.329853234
2012,Greece,1.501526962
2013,Greece,-0.921269454
2014,Greece,-1.312260964
2015,Greece,-1.735888048
2016,Greece,-0.825653978
2017,Greece,1.12125452
2018,Greece,0.625621413
2019,Greece,0.253007522
2020,Greece,-1.247983556
2021,Greece,1.22382501
2000,Croatia,4.611315547
2001,Croatia,3.776702467
2002,Croatia,1.671784374
2003,Croatia,1.767337808
2004,Croatia,2.055396791
2005,Croatia,3.317178244
2006,Croatia,3.189825915
2007,Croatia,2.899282756
2008,Croatia,6.076968388
2009,Croatia,2.378528459
2010,Croatia,1.030555053
2011,Croatia,2.272727273
2012,Croatia,3.412073491
2013,Croatia,2.216582064
2014,Croatia,-0.21519616
2015,Croatia,-0.464499005
2016,Croatia,-1.125
2017,Croatia,1.129372103
2018,Croatia,1.50012501
2019,Croatia,0.771820346
2020,Croatia,0.154811375
2021,Croatia,2.554506996
2000,Hungary,9.803610169
2001,Hungary,9.116809117
2002,Hungary,5.265448216
2003,Hungary,4.661016949
2004,Hungary,6.744346796
2005,Hungary,3.561517114
2006,Hungary,3.930326038
2007,Hungary,7.958745165
2008,Hungary,6.042512539
2009,Hungary,4.211711712
2010,Hungary,4.855557957
2011,Hungary,3.929920989
2012,Hungary,5.652145171
2013,Hungary,1.73319985
2014,Hungary,-0.227566271
2015,Hungary,-0.06164468
2016,Hungary,0.394769307
2017,Hungary,2.348242812
2018,Hungary,2.850247926
2019,Hungary,3.338586354
2020,Hungary,3.326743858
2021,Hungary,5.110965344
2000,Ireland,5.5907173
2001,Ireland,4.872904873
2002,Ireland,4.614733277
2003,Ireland,3.49048968
2004,Ireland,2.199628507
2005,Ireland,2.429691984
2006,Ireland,3.931639895
2007,Ireland,4.897115644
2008,Ireland,4.060304951
2009,Ireland,-4.478103392
2010,Ireland,-0.922095829
2011,Ireland,2.557188832
2012,Ireland,1.696208973
2013,Ireland,0.508714869
2014,Ireland,0.182542317
2015,Ireland,-0.289879079
2016,Ireland,0.008306338
2017,Ireland,0.340531561
2018,Ireland,0.488370168
2019,Ireland,0.939044481
2020,Ireland,-0.334584625
2021,Ireland,2.358142962
2000,Iceland,5.136471232
2001,Iceland,6.405085504
2002,Iceland,5.197022302
2003,Iceland,2.055663298
2004,Iceland,3.158193243
2005,Iceland,3.987047828
2006,Iceland,6.687079061
2007,Iceland,5.051557365
2008,Iceland,12.69439428
2009,Iceland,12.00312985
2010,Iceland,5.396731132
2011,Iceland,4.001026643
2012,Iceland,5.185899888
2013,Iceland,3.872279237
2014,Iceland,2.044614815
2015,Iceland,1.633055582
2016,Iceland,1.69692762
2017,Iceland,1.760415592
2018,Iceland,2.682917683
2019,Iceland,3.013971792
2020,Iceland,2.847924015
2021,Iceland,4.444239702
2000,Hungary,2.537685321
2001,Italy,2.785165427
2002,Italy,2.465323192
2003,Italy,2.672555528
2004,Italy,2.206736614
2005,Italy,1.985292985
2006,Italy,2.09084391
2007,Italy,1.829741122
2008,Italy,3.347832584
2009,Italy,0.774768131
2010,Italy,1.525516021
2011,Italy,2.780632729
2012,Italy,3.041363332
2013,Italy,1.219993423
2014,Italy,0.24104743
2015,Italy,0.0387904
2016,Italy,-0.094016657
2017,Italy,1.226533166
2018,Italy,1.137487636
2019,Italy,0.611246944
2020,Italy,-0.137707574
2021,Italy,1.873783258
2000,Kazakhstan,13.18089059
2001,Kazakhstan,8.354137772
2002,Kazakhstan,5.836924521
2003,Kazakhstan,6.438218101
2004,Kazakhstan,6.88205439
2005,Kazakhstan,7.579999291
2006,Kazakhstan,8.721693861
2007,Kazakhstan,10.84683621
2008,Kazakhstan,17.13989978
2009,Kazakhstan,7.316078583
2010,Kazakhstan,7.400463567
2011,Kazakhstan,8.424887619
2012,Kazakhstan,5.09791485
2013,Kazakhstan,5.846409173
2014,Kazakhstan,6.706578291
2015,Kazakhstan,6.665776115
2016,Kazakhstan,14.54602379
2017,Kazakhstan,7.440004373
2018,Kazakhstan,6.019130966
2019,Kazakhstan,5.245476796
2020,Kazakhstan,6.749001838
2021,Kazakhstan,0
2000,Liechtenstein,0
2001,Liechtenstein,0
2002,Liechtenstein,0
2003,Liechtenstein,0
2004,Liechtenstein,0
2005,Liechtenstein,0
2006,Liechtenstein,0
2007,Liechtenstein,0
2008,Liechtenstein,0
2009,Liechtenstein,0
2010,Liechtenstein,0
2011,Liechtenstein,0
2012,Liechtenstein,0
2013,Liechtenstein,0
2014,Liechtenstein,0
2015,Liechtenstein,0
2016,Liechtenstein,0
2017,Liechtenstein,0
2018,Liechtenstein,0
2019,Liechtenstein,0
2020,Liechtenstein,0
2021,Liechtenstein,0
2000,Lithuania,0.981615479
2001,Lithuania,1.367120308
2002,Lithuania,0.28150661
2003,Lithuania,-1.13430855
2004,Lithuania,1.164102521
2005,Lithuania,2.658484841
2006,Lithuania,3.739120041
2007,Lithuania,5.737173828
2008,Lithuania,10.92588562
2009,Lithuania,4.453044565
2010,Lithuania,1.319213621
2011,Lithuania,4.130275626
2012,Lithuania,3.089982771
2013,Lithuania,1.047479371
2014,Lithuania,0.103758009
2015,Lithuania,-0.884097406
2016,Lithuania,0.905525075
2017,Lithuania,3.722888623
2018,Lithuania,2.697927792
2019,Lithuania,2.33450938
2020,Lithuania,1.19989445
2021,Lithuania,4.683544209
2000,Luxembourg,3.15076707
2001,Luxembourg,2.663821106
2002,Luxembourg,2.074086136
2003,Luxembourg,2.049840306
2004,Luxembourg,2.225679164
2005,Luxembourg,2.487696652
2006,Luxembourg,2.666314946
2007,Luxembourg,2.312458618
2008,Luxembourg,3.40187963
2009,Luxembourg,0.368041998
2010,Luxembourg,2.273679116
2011,Luxembourg,3.410683411
2012,Luxembourg,2.662841655
2013,Luxembourg,1.734039635
2014,Luxembourg,0.628543985
2015,Luxembourg,0.474743161
2016,Luxembourg,0.290833333
2017,Luxembourg,1.730799591
2018,Luxembourg,1.528195243
2019,Luxembourg,1.743320757
2020,Luxembourg,0.819957302
2021,Luxembourg,2.526920091
2000,Latvia,2.654254778
2001,Latvia,2.487040036
2002,Latvia,1.938875739
2003,Latvia,2.942647529
2004,Latvia,6.192385472
2005,Latvia,6.748450279
2006,Latvia,6.536199088
2007,Latvia,10.09297758
2008,Latvia,15.40231911
2009,Latvia,3.534106729
2010,Latvia,-1.08463595
2011,Latvia,4.370735599
2012,Latvia,2.257789244
2013,Latvia,-0.029454778
2014,Latvia,0.620490637
2015,Latvia,0.174242244
2016,Latvia,0.140633335
2017,Latvia,2.930363124
2018,Latvia,2.534454242
2019,Latvia,2.811409201
2020,Latvia,0.219064905
2021,Latvia,3.275829374
2000,Moldova,31.29930158
2001,Moldova,9.764662858
2002,Moldova,5.301243903
2003,Moldova,11.74607921
2004,Moldova,12.52427684
2005,Moldova,11.95918372
2006,Moldova,12.77775578
2007,Moldova,12.36716684
2008,Moldova,12.78304726
2009,Moldova,-0.062718597
2010,Moldova,7.483850864
2011,Moldova,7.687251034
2012,Moldova,4.546334274
2013,Moldova,4.597878974
2014,Moldova,5.088785546
2015,Moldova,9.676240331
2016,Moldova,6.35930898
2017,Moldova,6.570229975
2018,Moldova,3.045053973
2019,Moldova,4.837783514
2020,Moldova,3.765971222
2021,Moldova,5.10641129
2000,Malta,2.369592875
2001,Malta,2.929492443
2002,Malta,2.188490481
2003,Malta,1.303837774
2004,Malta,2.790828481
2005,Malta,3.007966525
2006,Malta,2.773780065
2007,Malta,1.249219238
2008,Malta,4.258621719
2009,Malta,2.084327461
2010,Malta,1.515635136
2011,Malta,2.962985282
2012,Malta,2.375820578
2013,Malta,1.180284364
2014,Malta,0.310306472
2015,Malta,1.100548264
2016,Malta,0.642702772
2017,Malta,1.364354482
2018,Malta,1.157823625
2019,Malta,1.642060018
2020,Malta,0.638544957
2021,Malta,1.497892179
2000,Montenegro,0
2001,Montenegro,0
2002,Montenegro,0
2003,Montenegro,0
2004,Montenegro,0
2005,Montenegro,0
2006,Montenegro,2.924512581
2007,Montenegro,4.347122157
2008,Montenegro,8.758727696
2009,Montenegro,3.466723732
2010,Montenegro,0.65494657
2011,Montenegro,3.450143112
2012,Montenegro,4.14524725
2013,Montenegro,2.205892681
2014,Montenegro,-0.710514052
2015,Montenegro,1.548691582
2016,Montenegro,-0.271385023
2017,Montenegro,2.380235991
2018,Montenegro,2.611223783
2019,Montenegro,0.361563705
2020,Montenegro,-0.2556557
2021,Montenegro,2.410801984
2000,Netherlands,2.360522338
2001,Netherlands,4.155841272
2002,Netherlands,3.287531047
2003,Netherlands,2.09199839
2004,Netherlands,1.263647392
2005,Netherlands,1.688130179
2006,Netherlands,1.101501065
2007,Netherlands,1.613858598
2008,Netherlands,2.486501983
2009,Netherlands,1.18977687
2010,Netherlands,1.275305696
2011,Netherlands,2.341070178
2012,Netherlands,2.455547653
2013,Netherlands,2.506898527
2014,Netherlands,0.97603508
2015,Netherlands,0.600248147
2016,Netherlands,0.316666667
2017,Netherlands,1.381458714
2018,Netherlands,1.703497947
2019,Netherlands,2.633699102
2020,Netherlands,1.272460378
2021,Netherlands,2.675720088
2000,Norway,3.085506091
2001,Norway,3.00419704
2002,Norway,1.286725284
2003,Norway,2.487825535
2004,Norway,0.454498502
2005,Norway,1.532133676
2006,Norway,2.329349808
2007,Norway,0.712589074
2008,Norway,3.753930818
2009,Norway,2.197385869
2010,Norway,2.418906395
2011,Norway,1.284951588
2012,Norway,0.696864111
2013,Norway,2.120486204
2014,Norway,2.041702867
2015,Norway,2.171136654
2016,Norway,3.55
2017,Norway,1.875100596
2018,Norway,2.764831345
2019,Norway,2.167730033
2020,Norway,1.286584907
2021,Norway,3.483880553
2000,Poland,9.900175388
2001,Poland,5.408335456
2002,Poland,1.90528215
2003,Poland,0.682701376
2004,Poland,3.382646819
2005,Poland,2.183798724
2006,Poland,1.284693944
2007,Poland,2.458743124
2008,Poland,4.164971935
2009,Poland,3.795392425
2010,Poland,2.580693703
2011,Poland,4.239401496
2012,Poland,3.560371517
2013,Poland,0.991982606
2014,Poland,0.053821313
2015,Poland,-0.874125874
2016,Poland,-0.664767331
2017,Poland,2.075935537
2018,Poland,1.812951565
2019,Poland,2.227478809
2020,Poland,3.374469726
2021,Poland,5.055027047
2000,Portugal,2.853030393
2001,Portugal,4.369903306
2002,Portugal,3.600346583
2003,Portugal,3.218990907
2004,Portugal,2.365362041
2005,Portugal,2.277163949
2006,Portugal,3.107665459
2007,Portugal,2.453965281
2008,Portugal,2.588506577
2009,Portugal,-0.835530022
2010,Portugal,1.402572899
2011,Portugal,3.653011004
2012,Portugal,2.773338541
2013,Portugal,0.274416667
2014,Portugal,-0.278153367
2015,Portugal,0.487938624
2016,Portugal,0.607397075
2017,Portugal,1.368614116
2018,Portugal,0.993715683
2019,Portugal,0.33817841
2020,Portugal,-0.01243833
2021,Portugal,1.265657191
2000,Romania,45.66659404
2001,Romania,34.47701235
2002,Romania,22.53988626
2003,Romania,15.27348899
2004,Romania,11.87436359
2005,Romania,9.014912833
2006,Romania,6.558514123
2007,Romania,4.837329283
2008,Romania,7.850802557
2009,Romania,5.587420043
2010,Romania,6.091416686
2011,Romania,5.789253288
2012,Romania,3.334922677
2013,Romania,3.984712355
2014,Romania,1.068309877
2015,Romania,-0.594156437
2016,Romania,-1.544796668
2017,Romania,1.339021211
2018,Romania,4.625484431
2019,Romania,3.827854326
2020,Romania,2.631073112
2021,Romania,5.052328761
2000,Russian Federation,20.79876066
2001,Russian Federation,21.47700721
2002,Russian Federation,15.78873079
2003,Russian Federation,13.66329302
2004,Russian Federation,10.88861573
2005,Russian Federation,12.68530395
2006,Russian Federation,9.668654548
2007,Russian Federation,9.007298689
2008,Russian Federation,14.11076778
2009,Russian Federation,11.64732958
2010,Russian Federation,6.849392303
2011,Russian Federation,8.440464859
2012,Russian Federation,5.074743008
2013,Russian Federation,6.753710262
2014,Russian Federation,7.823411839
2015,Russian Federation,15.53440505
2016,Russian Federation,7.04244763
2017,Russian Federation,3.683329444
2018,Russian Federation,2.878297236
2019,Russian Federation,4.470366608
2020,Russian Federation,3.381659372
2021,Russian Federation,6.69445892
2000,San Marino,0
2001,San Marino,0
2002,San Marino,0
2003,San Marino,0
2004,San Marino,1.430838685
2005,San Marino,1.685488905
2006,San Marino,2.095259356
2007,San Marino,2.498945757
2008,San Marino,4.293202493
2009,San Marino,2.19959237
2010,San Marino,2.585418156
2011,San Marino,2.899795843
2012,San Marino,2.827332242
2013,San Marino,1.604392981
2014,San Marino,1.112963034
2015,San Marino,0.145686073
2016,San Marino,0.57394802
2017,San Marino,1.045976835
2018,San Marino,0
2019,San Marino,0
2020,San Marino,0
2021,San Marino,0
2000,Serbia,71.12062879
2001,Serbia,95.00522581
2002,Serbia,19.49083216
2003,Serbia,9.876178897
2004,Serbia,11.02636272
2005,Serbia,16.11998065
2006,Serbia,11.724023
2007,Serbia,6.391706444
2008,Serbia,12.41098678
2009,Serbia,8.116950922
2010,Serbia,6.142553602
2011,Serbia,11.13739763
2012,Serbia,7.330385896
2013,Serbia,7.694263629
2014,Serbia,2.082447939
2015,Serbia,1.39235822
2016,Serbia,1.122313974
2017,Serbia,3.131062486
2018,Serbia,1.959840763
2019,Serbia,1.849229845
2020,Serbia,1.575532901
2021,Serbia,4.085102853
2000,Slovak Republic,12.0357806
2001,Slovak Republic,7.329620191
2002,Slovak Republic,3.12714223
2003,Slovak Republic,8.554143054
2004,Slovak Republic,7.548500882
2005,Slovak Republic,2.709084946
2006,Slovak Republic,4.483331204
2007,Slovak Republic,2.756723716
2008,Slovak Republic,4.598179763
2009,Slovak Republic,1.615104641
2010,Slovak Republic,0.957018133
2011,Slovak Republic,3.919285991
2012,Slovak Republic,3.606102635
2013,Slovak Republic,1.40047369
2014,Slovak Republic,-0.07616533
2015,Slovak Republic,-0.325219777
2016,Slovak Republic,-0.520010196
2017,Slovak Republic,1.311945882
2018,Slovak Republic,2.514037129
2019,Slovak Republic,2.664561334
2020,Slovak Republic,1.936941267
2021,Slovak Republic,3.149606299
2000,Slovenia,8.911744187
2001,Slovenia,8.379665875
2002,Slovenia,7.480777707
2003,Slovenia,5.544164218
2004,Slovenia,3.592975942
2005,Slovenia,2.451501323
2006,Slovenia,2.457924442
2007,Slovenia,3.657495633
2008,Slovenia,5.647423806
2009,Slovenia,0.839262247
2010,Slovenia,1.801170221
2011,Slovenia,1.802851719
2012,Slovenia,2.59741386
2013,Slovenia,1.769200859
2014,Slovenia,0.199343827
2015,Slovenia,-0.525552286
2016,Slovenia,-0.054999542
2017,Slovenia,1.429107433
2018,Slovenia,1.73860862
2019,Slovenia,1.630522608
2020,Slovenia,-0.054856816
2021,Slovenia,1.917065061
2000,Sweden,0.899143734
2001,Sweden,2.405958341
2002,Sweden,2.158482136
2003,Sweden,1.925655349
2004,Sweden,0.373659829
2005,Sweden,0.453170853
2006,Sweden,1.360214686
2007,Sweden,2.212168834
2008,Sweden,3.437049106
2009,Sweden,-0.494460544
2010,Sweden,1.157988027
