Countries,Continent,2017,2022,2027
Turkmenistan,Asia,0.6,1.8,2.8
Uganda,Africa,0.3,0.8,1.1
Ukraine,Europe,4,0.9,1.1
United Arab Emirates,Asia,10,16.9,21.7
United Kingdom,Europe,23,33.7,42.1
United States,North America,21.4,37.2,46.9
Uruguay,South America,1.9,3.2,4
Uzbekistan,Asia,0.7,1.2,1.5
Vietnam,Asia,2,3.4,4.2
Zambia,Africa,0.4,0.9,1.3
Zimbabwe,Africa,0.3,0.8,1.2
