"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","GDPHRWKD","TOT","IDX2015","A","2001",88.516815,
"GBR","GDPHRWKD","TOT","IDX2015","A","2002",90.448717,
"GBR","GDPHRWKD","TOT","IDX2015","A","2003",92.902537,
"GBR","GDPHRWKD","TOT","IDX2015","A","2004",94.069696,
"GBR","GDPHRWKD","TOT","IDX2015","A","2005",94.877962,
"GBR","GDPHRWKD","TOT","IDX2015","A","2006",96.449704,
"GBR","GDPHRWKD","TOT","IDX2015","A","2007",97.815533,
"GBR","GDPHRWKD","TOT","IDX2015","A","2008",97.876231,
"GBR","GDPHRWKD","TOT","IDX2015","A","2009",95.517625,
"GBR","GDPHRWKD","TOT","IDX2015","A","2010",98.183656,
"GBR","GDPHRWKD","TOT","IDX2015","A","2011",98.203867,
"GBR","GDPHRWKD","TOT","IDX2015","A","2012",97.543225,
"GBR","GDPHRWKD","TOT","IDX2015","A","2013",98.011977,
"GBR","GDPHRWKD","TOT","IDX2015","A","2014",98.252909,
"GBR","GDPHRWKD","TOT","IDX2015","A","2015",100,
"GBR","GDPHRWKD","TOT","IDX2015","A","2016",99.629002,
"GBR","GDPHRWKD","TOT","IDX2015","A","2017",101.429445,
"GBR","GDPHRWKD","TOT","IDX2015","A","2018",101.908738,
"GBR","GDPHRWKD","TOT","IDX2015","A","2019",102.375673,
"GBR","GDPHRWKD","TOT","IDX2015","A","2020",103.558338,
"GBR","GDPHRWKD","TOT","IDX2015","A","2021",101.732968,
"USA","GDPHRWKD","TOT","IDX2015","A","2000",78.928548,
"USA","GDPHRWKD","TOT","IDX2015","A","2001",80.660218,
"USA","GDPHRWKD","TOT","IDX2015","A","2002",82.891625,
"USA","GDPHRWKD","TOT","IDX2015","A","2003",85.398085,
"USA","GDPHRWKD","TOT","IDX2015","A","2004",87.632516,
"USA","GDPHRWKD","TOT","IDX2015","A","2005",89.463196,
"USA","GDPHRWKD","TOT","IDX2015","A","2006",90.31024,
"USA","GDPHRWKD","TOT","IDX2015","A","2007",91.57842,
"USA","GDPHRWKD","TOT","IDX2015","A","2008",92.751305,
"USA","GDPHRWKD","TOT","IDX2015","A","2009",95.715647,
"USA","GDPHRWKD","TOT","IDX2015","A","2010",98.245288,
"USA","GDPHRWKD","TOT","IDX2015","A","2011",98.282918,
"USA","GDPHRWKD","TOT","IDX2015","A","2012",98.653951,
"USA","GDPHRWKD","TOT","IDX2015","A","2013",99.073648,
"USA","GDPHRWKD","TOT","IDX2015","A","2014",99.446088,
"USA","GDPHRWKD","TOT","IDX2015","A","2015",100,
"USA","GDPHRWKD","TOT","IDX2015","A","2016",100.302963,
"USA","GDPHRWKD","TOT","IDX2015","A","2017",101.201253,
"USA","GDPHRWKD","TOT","IDX2015","A","2018",102.3422,
"USA","GDPHRWKD","TOT","IDX2015","A","2019",103.581713,
"USA","GDPHRWKD","TOT","IDX2015","A","2020",107.111176,
"USA","GDPHRWKD","TOT","IDX2015","A","2021",108.386615,
"OECD","GDPHRWKD","TOT","IDX2015","A","2000",83.598862,
"OECD","GDPHRWKD","TOT","IDX2015","A","2001",84.970644,
"OECD","GDPHRWKD","TOT","IDX2015","A","2002",86.196627,
"OECD","GDPHRWKD","TOT","IDX2015","A","2003",88.01855,
"OECD","GDPHRWKD","TOT","IDX2015","A","2004",90.004495,
"OECD","GDPHRWKD","TOT","IDX2015","A","2005",91.396193,
"OECD","GDPHRWKD","TOT","IDX2015","A","2006",92.839171,
"OECD","GDPHRWKD","TOT","IDX2015","A","2007",94.203843,
"OECD","GDPHRWKD","TOT","IDX2015","A","2008",94.239635,
"OECD","GDPHRWKD","TOT","IDX2015","A","2009",94.262004,
"OECD","GDPHRWKD","TOT","IDX2015","A","2010",95.705226,
"OECD","GDPHRWKD","TOT","IDX2015","A","2011",96.672637,
"OECD","GDPHRWKD","TOT","IDX2015","A","2012",97.087856,
"OECD","GDPHRWKD","TOT","IDX2015","A","2013",98.081761,
"OECD","GDPHRWKD","TOT","IDX2015","A","2014",98.874939,
"OECD","GDPHRWKD","TOT","IDX2015","A","2015",100,
"OECD","GDPHRWKD","TOT","IDX2015","A","2016",100.490132,
"OECD","GDPHRWKD","TOT","IDX2015","A","2017",102.176022,
"OECD","GDPHRWKD","TOT","IDX2015","A","2018",103.171411,
"OECD","GDPHRWKD","TOT","IDX2015","A","2019",104.344574,
"OECD","GDPHRWKD","TOT","IDX2015","A","2020",108.205217,
"OECD","GDPHRWKD","TOT","IDX2015","A","2021",107.340082,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2000",84.390963,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2001",86.12318,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2002",87.806288,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2003",88.625527,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2004",90.055925,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2005",91.066357,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2006",92.56971,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2007",93.438189,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2008",93.193544,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2009",92.105358,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2010",94.838078,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2011",96.572079,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2012",97.104071,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2013",97.944975,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2014",98.627085,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2015",100,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2016",100.407265,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2017",102.174531,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2018",102.9426,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2019",104.006709,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2020",105.306113,
"EU27_2020","GDPHRWKD","TOT","IDX2015","A","2021",105.599606,
